高 0 1 B 高 B-NAME
索 11 14 M 索 M-ORG
道 11 14 E 道 M-ORG
集 15 16 B 集 M-ORG
团 15 16 E 团 M-ORG
股 17 18 B 股 M-ORG
份 17 18 E 份 M-ORG
有 19 20 B 有 M-ORG
限 19 20 E 限 M-ORG
公 21 22 B 公 M-ORG
司 21 22 E 司 E-ORG
副 23 25 B 副 B-TITLE
总 23 25 M 总 M-TITLE
裁 23 25 E 裁 E-TITLE
， 26 26 S ， O
兼 27 28 B 兼 O
任 27 28 E 任 O
华 29 30 B 华 B-ORG
山 29 30 E 山 M-ORG
宾 31 32 B 宾 M-ORG
馆 31 32 E 馆 E-ORG
董 33 35 B 董 B-TITLE
事 33 35 M 事 M-TITLE
长 33 35 E 长 E-TITLE
、 36 36 S 、 O
华 37 38 B 华 B-ORG
山 37 38 E 山 M-ORG
索 39 40 B 索 M-ORG
道 39 40 E 道 M-ORG
公 41 42 B 公 M-ORG
司 41 42 E 司 E-ORG
董 43 44 B 董 B-TITLE
事 43 44 E 事 E-TITLE
、 45 45 S 、 O
总 46 48 B 总 B-TITLE
经 46 48 M 经 M-TITLE
理 46 48 E 理 E-TITLE
， 49 49 S ， O
景 50 51 B 景 B-ORG
区 50 51 E 区 M-ORG
营 52 53 B 营 M-ORG
销 52 53 E 销 M-ORG
公 54 55 B 公 M-ORG
司 54 55 E 司 E-ORG
、 56 56 S 、 O
创 57 58 B 创 B-ORG
时 57 58 E 时 M-ORG
新 59 59 S 新 M-ORG
一 60 60 S 一 E-ORG
董 61 62 B 董 B-TITLE
事 61 62 E 事 E-TITLE
。 63 63 S 。 O
 
陈 0 2 B 陈 B-NAME
俊 0 2 M 俊 M-NAME
孟 0 2 E 孟 E-NAME
男 3 3 S 男 O
， 4 4 S ， O
出 5 6 B 出 O
生 5 6 E 生 O
于 7 7 S 于 O
1 8 12 B 1 O
9 8 12 M 9 O
6 8 12 M 6 O
9 8 12 M 9 O
年 8 12 E 年 O
， 13 13 S ， O
中 14 15 B 中 B-CONT
国 14 15 E 国 M-CONT
国 16 17 B 国 M-CONT
籍 16 17 E 籍 E-CONT
， 18 18 S ， O
无 19 21 B 无 O
永 19 21 M 永 O
久 19 21 E 久 O
境 22 23 B 境 O
外 22 23 E 外 O
居 24 26 B 居 O
留 24 26 M 留 O
权 24 26 E 权 O
， 27 27 S ， O
大 28 29 B 大 B-EDU
专 28 29 E 专 M-EDU
学 30 31 B 学 M-EDU
历 30 31 E 历 E-EDU
。 32 32 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
0 0 4 M 0 O
年 0 4 E 年 O
1 5 7 B 1 O
0 5 7 M 0 O
月 5 7 E 月 O
至 8 8 S 至 O
1 9 13 B 1 O
9 9 13 M 9 O
9 9 13 M 9 O
5 9 13 M 5 O
年 9 13 E 年 O
1 14 16 B 1 O
2 14 16 M 2 O
月 14 16 E 月 O
就 17 18 B 就 O
职 17 18 E 职 O
于 19 19 S 于 O
汕 20 22 B 汕 B-ORG
头 20 22 M 头 M-ORG
市 20 22 E 市 M-ORG
澳 23 25 B 澳 M-ORG
丽 23 25 M 丽 M-ORG
克 23 25 E 克 M-ORG
电 26 27 B 电 M-ORG
器 26 27 E 器 M-ORG
有 28 29 B 有 M-ORG
限 28 29 E 限 M-ORG
公 30 31 B 公 M-ORG
司 30 31 E 司 E-ORG
， 32 32 S ， O
从 33 34 B 从 O
事 33 34 E 事 O
管 35 36 B 管 O
理 35 36 E 理 O
工 37 38 B 工 O
作 37 38 E 作 O
； 39 39 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
6 0 4 M 6 O
年 0 4 E 年 O
3 5 6 B 3 O
月 5 6 E 月 O
至 7 7 S 至 O
2 8 12 B 2 O
0 8 12 M 0 O
0 8 12 M 0 O
2 8 12 M 2 O
年 8 12 E 年 O
1 13 15 B 1 O
1 13 15 M 1 O
月 13 15 E 月 O
担 16 17 B 担 O
任 16 17 E 任 O
汕 18 20 B 汕 B-ORG
头 18 20 M 头 M-ORG
市 18 20 E 市 M-ORG
龙 21 23 B 龙 M-ORG
湖 21 23 M 湖 M-ORG
区 21 23 E 区 M-ORG
永 24 25 B 永 M-ORG
明 24 25 E 明 M-ORG
墙 26 27 B 墙 M-ORG
纸 26 27 E 纸 M-ORG
商 28 29 B 商 M-ORG
行 28 29 E 行 E-ORG
负 30 32 B 负 O
责 30 32 M 责 O
人 30 32 E 人 O
； 33 33 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
3 0 4 M 3 O
年 0 4 E 年 O
2 5 6 B 2 O
月 5 6 E 月 O
加 7 8 B 加 O
入 7 8 E 入 O
本 9 9 S 本 B-TITLE
公 10 11 B 公 M-TITLE
司 10 11 E 司 E-TITLE
， 12 12 S ， O
从 13 14 B 从 O
事 13 14 E 事 O
销 15 16 B 销 O
售 15 16 E 售 O
管 17 18 B 管 O
理 17 18 E 理 O
工 19 20 B 工 O
作 19 20 E 作 O
， 21 21 S ， O
区 22 23 B 区 B-TITLE
域 22 23 E 域 M-TITLE
经 24 25 B 经 M-TITLE
理 24 25 E 理 E-TITLE
。 26 26 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
本 2 2 S 本 B-ORG
公 3 4 B 公 M-ORG
司 3 4 E 司 E-ORG
监 5 6 B 监 B-TITLE
事 5 6 E 事 E-TITLE
。 7 7 S 。 O
 
谭 0 2 B 谭 B-NAME
力 0 2 M 力 M-NAME
文 0 2 E 文 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
中 6 7 B 中 B-TITLE
共 6 7 E 共 M-TITLE
党 8 9 B 党 M-TITLE
员 8 9 E 员 E-TITLE
， 10 10 S ， O
博 11 12 B 博 B-EDU
士 11 12 E 士 M-EDU
研 13 15 B 研 M-EDU
究 13 15 M 究 M-EDU
生 13 15 E 生 E-EDU
， 16 16 S ， O
企 17 18 B 企 B-TITLE
业 17 18 E 业 M-TITLE
管 19 20 B 管 M-TITLE
理 19 20 E 理 M-TITLE
专 21 22 B 专 M-TITLE
业 21 22 E 业 M-TITLE
教 23 24 B 教 M-TITLE
授 23 24 E 授 E-TITLE
、 25 25 S 、 O
博 26 28 B 博 B-TITLE
士 26 28 M 士 M-TITLE
生 26 28 E 生 M-TITLE
导 29 30 B 导 M-TITLE
师 29 30 E 师 E-TITLE
， 31 31 S ， O
毕 32 34 B 毕 O
业 32 34 M 业 O
于 32 34 E 于 O
武 35 36 B 武 B-ORG
汉 35 36 E 汉 M-ORG
大 37 38 B 大 M-ORG
学 37 38 E 学 E-ORG
， 39 39 S ， O
自 40 40 S 自 O
1 41 45 B 1 O
9 41 45 M 9 O
8 41 45 M 8 O
2 41 45 M 2 O
年 41 45 E 年 O
起 46 46 S 起 O
， 47 47 S ， O
在 48 48 S 在 O
武 49 50 B 武 B-ORG
汉 49 50 E 汉 M-ORG
大 51 52 B 大 M-ORG
学 51 52 E 学 E-ORG
任 53 54 B 任 O
教 53 54 E 教 O
至 55 56 B 至 O
今 55 56 E 今 O
， 57 57 S ， O
现 58 59 B 现 O
任 58 59 E 任 O
武 60 61 B 武 B-ORG
汉 60 61 E 汉 M-ORG
大 62 63 B 大 M-ORG
学 62 63 E 学 M-ORG
企 64 65 B 企 M-ORG
业 64 65 E 业 M-ORG
战 66 67 B 战 M-ORG
略 66 67 E 略 M-ORG
管 68 69 B 管 M-ORG
理 68 69 E 理 M-ORG
研 70 72 B 研 M-ORG
究 70 72 M 究 M-ORG
所 70 72 E 所 E-ORG
所 73 74 B 所 B-TITLE
长 73 74 E 长 E-TITLE
。 75 75 S 。 O
 
社 0 1 B 社 B-ORG
会 0 1 E 会 M-ORG
兼 2 3 B 兼 M-ORG
职 2 3 E 职 M-ORG
有 4 4 S 有 M-ORG
国 5 6 B 国 M-ORG
家 5 6 E 家 M-ORG
社 7 8 B 社 M-ORG
会 7 8 E 会 M-ORG
科 9 10 B 科 M-ORG
学 9 10 E 学 M-ORG
基 11 12 B 基 M-ORG
金 11 12 E 金 M-ORG
项 13 14 B 项 M-ORG
目 13 14 E 目 M-ORG
学 15 15 S 学 M-ORG
科 16 17 B 科 M-ORG
评 16 17 E 评 M-ORG
审 18 19 B 审 M-ORG
组 18 19 E 组 E-ORG
专 20 21 B 专 B-TITLE
家 20 21 E 家 E-TITLE
、 22 22 S 、 O
湖 23 25 B 湖 B-ORG
北 23 25 M 北 M-ORG
省 23 25 E 省 M-ORG
经 26 28 B 经 M-ORG
团 26 28 M 团 M-ORG
联 26 28 E 联 E-ORG
副 29 32 B 副 B-TITLE
秘 29 32 M 秘 M-TITLE
书 29 32 M 书 M-TITLE
长 29 32 E 长 E-TITLE
、 33 33 S 、 O
中 34 35 B 中 B-ORG
国 34 35 E 国 M-ORG
企 36 37 B 企 M-ORG
业 36 37 E 业 M-ORG
管 38 39 B 管 M-ORG
理 38 39 E 理 M-ORG
研 40 42 B 研 M-ORG
究 40 42 M 究 M-ORG
会 40 42 E 会 E-ORG
副 43 46 B 副 B-TITLE
理 43 46 M 理 M-TITLE
事 43 46 M 事 M-TITLE
长 43 46 E 长 E-TITLE
、 47 47 S 、 O
湖 48 50 B 湖 B-ORG
北 48 50 M 北 M-ORG
省 48 50 E 省 M-ORG
技 51 52 B 技 M-ORG
术 51 52 E 术 M-ORG
经 53 54 B 经 M-ORG
济 53 54 E 济 M-ORG
协 55 56 B 协 M-ORG
会 55 56 E 会 E-ORG
副 57 60 B 副 B-TITLE
理 57 60 M 理 M-TITLE
事 57 60 M 事 M-TITLE
长 57 60 E 长 E-TITLE
。 61 61 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
2 0 4 M 2 O
年 0 4 E 年 O
3 5 6 B 3 O
月 5 6 E 月 O
起 7 7 S 起 O
出 8 9 B 出 O
任 8 9 E 任 O
武 10 11 B 武 B-ORG
汉 10 11 E 汉 M-ORG
中 12 13 B 中 M-ORG
商 12 13 E 商 M-ORG
集 14 15 B 集 M-ORG
团 14 15 E 团 M-ORG
股 16 17 B 股 M-ORG
份 16 17 E 份 M-ORG
有 18 19 B 有 M-ORG
限 18 19 E 限 M-ORG
公 20 21 B 公 M-ORG
司 20 21 E 司 E-ORG
独 22 23 B 独 B-TITLE
立 22 23 E 立 M-TITLE
董 24 25 B 董 M-TITLE
事 24 25 E 事 E-TITLE
。 26 26 S 。 O
 
张 0 2 B 张 B-NAME
文 0 2 M 文 M-NAME
斌 0 2 E 斌 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
： 5 5 S ： O
1 6 10 B 1 O
9 6 10 M 9 O
6 6 10 M 6 O
3 6 10 M 3 O
年 6 10 E 年 O
出 11 12 B 出 O
生 11 12 E 生 O
， 13 13 S ， O
本 14 15 B 本 B-EDU
科 14 15 E 科 M-EDU
学 16 17 B 学 M-EDU
历 16 17 E 历 E-EDU
， 18 18 S ， O
会 19 21 B 会 B-TITLE
计 19 21 M 计 M-TITLE
师 19 21 E 师 E-TITLE
， 22 22 S ， O
中 23 24 B 中 B-CONT
国 23 24 E 国 M-CONT
国 25 26 B 国 M-CONT
籍 25 26 E 籍 E-CONT
。 27 27 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
包 2 3 B 包 B-ORG
钢 2 3 E 钢 M-ORG
集 4 5 B 集 M-ORG
团 4 5 E 团 E-ORG
设 6 7 B 设 B-TITLE
备 6 7 E 备 M-TITLE
处 8 8 S 处 M-TITLE
财 9 11 B 财 M-TITLE
务 9 11 M 务 M-TITLE
科 9 11 E 科 M-TITLE
副 12 14 B 副 M-TITLE
科 12 14 M 科 M-TITLE
长 12 14 E 长 E-TITLE
， 15 15 S ， O
深 16 18 B 深 B-ORG
圳 16 18 M 圳 M-ORG
市 16 18 E 市 M-ORG
家 19 19 S 家 M-ORG
电 20 21 B 电 M-ORG
宝 20 21 E 宝 M-ORG
有 22 23 B 有 M-ORG
限 22 23 E 限 M-ORG
公 24 25 B 公 M-ORG
司 24 25 E 司 E-ORG
成 26 27 B 成 B-TITLE
本 26 27 E 本 M-TITLE
控 28 30 B 控 M-TITLE
制 28 30 M 制 M-TITLE
室 28 30 E 室 M-TITLE
成 31 32 B 成 M-TITLE
本 31 32 E 本 M-TITLE
主 33 34 B 主 M-TITLE
管 33 34 E 管 E-TITLE
， 35 35 S ， O
芭 36 37 B 芭 B-ORG
田 36 37 E 田 M-ORG
股 38 39 B 股 M-ORG
份 38 39 E 份 E-ORG
会 40 42 B 会 B-TITLE
计 40 42 M 计 M-TITLE
师 40 42 E 师 E-TITLE
、 43 43 S 、 O
E 44 45 B E B-TITLE
R 44 45 E R M-TITLE
P 46 46 S P M-TITLE
项 47 48 B 项 M-TITLE
目 47 48 E 目 M-TITLE
组 49 50 B 组 M-TITLE
长 49 50 E 长 E-TITLE
、 51 51 S 、 O
财 52 54 B 财 B-TITLE
务 52 54 M 务 M-TITLE
部 52 54 E 部 M-TITLE
副 55 57 B 副 M-TITLE
部 55 57 M 部 M-TITLE
长 55 57 E 长 E-TITLE
、 58 58 S 、 O
部 59 60 B 部 B-TITLE
长 59 60 E 长 E-TITLE
、 61 61 S 、 O
财 62 63 B 财 B-TITLE
务 62 63 E 务 M-TITLE
负 64 66 B 负 M-TITLE
责 64 66 M 责 M-TITLE
人 64 66 E 人 E-TITLE
， 67 67 S ， O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
7 0 4 M 7 O
年 0 4 E 年 O
1 5 7 B 1 O
1 5 7 M 1 O
月 5 7 E 月 O
加 8 9 B 加 O
入 8 9 E 入 O
深 10 12 B 深 B-ORG
圳 10 12 M 圳 M-ORG
市 10 12 E 市 M-ORG
尚 13 14 B 尚 M-ORG
荣 13 14 E 荣 M-ORG
医 15 16 B 医 M-ORG
疗 15 16 E 疗 M-ORG
股 17 18 B 股 M-ORG
份 17 18 E 份 M-ORG
有 19 20 B 有 M-ORG
限 19 20 E 限 M-ORG
公 21 22 B 公 M-ORG
司 21 22 E 司 E-ORG
， 23 23 S ， O
担 24 25 B 担 O
任 24 25 E 任 O
财 26 27 B 财 B-TITLE
务 26 27 E 务 M-TITLE
总 28 29 B 总 M-TITLE
监 28 29 E 监 E-TITLE
兼 30 30 S 兼 O
副 31 34 B 副 B-TITLE
总 31 34 M 总 M-TITLE
经 31 34 M 经 M-TITLE
理 31 34 E 理 E-TITLE
职 35 36 B 职 O
务 35 36 E 务 O
。 37 37 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
深 2 4 B 深 B-ORG
圳 2 4 M 圳 M-ORG
市 2 4 E 市 M-ORG
尚 5 6 B 尚 M-ORG
荣 5 6 E 荣 M-ORG
医 7 8 B 医 M-ORG
疗 7 8 E 疗 M-ORG
股 9 10 B 股 M-ORG
份 9 10 E 份 M-ORG
有 11 12 B 有 M-ORG
限 11 12 E 限 M-ORG
公 13 14 B 公 M-ORG
司 13 14 E 司 E-ORG
副 15 18 B 副 B-TITLE
总 15 18 M 总 M-TITLE
经 15 18 M 经 M-TITLE
理 15 18 E 理 E-TITLE
， 19 19 S ， O
深 20 22 B 深 B-ORG
圳 20 22 M 圳 M-ORG
市 20 22 E 市 M-ORG
华 23 24 B 华 M-ORG
荣 23 24 E 荣 M-ORG
健 25 26 B 健 M-ORG
康 25 26 E 康 M-ORG
医 27 28 B 医 M-ORG
疗 27 28 E 疗 M-ORG
设 29 30 B 设 M-ORG
备 29 30 E 备 M-ORG
有 31 32 B 有 M-ORG
限 31 32 E 限 M-ORG
公 33 34 B 公 M-ORG
司 33 34 E 司 E-ORG
监 35 36 B 监 B-TITLE
事 35 36 E 事 E-TITLE
， 37 37 S ， O
合 38 42 B 合 B-ORG
肥 38 42 M 肥 M-ORG
普 38 42 M 普 M-ORG
尔 38 42 M 尔 M-ORG
德 38 42 E 德 M-ORG
医 43 44 B 医 M-ORG
疗 43 44 E 疗 M-ORG
用 45 46 B 用 M-ORG
品 45 46 E 品 M-ORG
有 47 48 B 有 M-ORG
限 47 48 E 限 M-ORG
公 49 50 B 公 M-ORG
司 49 50 E 司 E-ORG
董 51 52 B 董 B-TITLE
事 51 52 E 事 E-TITLE
， 53 53 S ， O
张 54 57 B 张 B-ORG
家 54 57 M 家 M-ORG
港 54 57 M 港 M-ORG
市 54 57 E 市 M-ORG
锦 58 59 B 锦 M-ORG
洲 58 59 E 洲 M-ORG
医 60 61 B 医 M-ORG
械 60 61 E 械 M-ORG
制 62 63 B 制 M-ORG
造 62 63 E 造 M-ORG
有 64 65 B 有 M-ORG
限 64 65 E 限 M-ORG
公 66 67 B 公 M-ORG
司 66 67 E 司 E-ORG
董 68 69 B 董 B-TITLE
事 68 69 E 事 E-TITLE
， 70 70 S ， O
苏 71 72 B 苏 B-ORG
州 71 72 E 州 M-ORG
吉 73 75 B 吉 M-ORG
美 73 75 M 美 M-ORG
瑞 73 75 E 瑞 M-ORG
医 76 77 B 医 M-ORG
械 76 77 E 械 M-ORG
有 78 79 B 有 M-ORG
限 78 79 E 限 M-ORG
公 80 81 B 公 M-ORG
司 80 81 E 司 E-ORG
董 82 83 B 董 B-TITLE
事 82 83 E 事 E-TITLE
， 84 84 S ， O
深 85 87 B 深 B-ORG
圳 85 87 M 圳 M-ORG
市 85 87 E 市 M-ORG
尚 88 89 B 尚 M-ORG
荣 88 89 E 荣 M-ORG
康 90 91 B 康 M-ORG
源 90 91 E 源 M-ORG
医 92 93 B 医 M-ORG
疗 92 93 E 疗 M-ORG
科 94 95 B 科 M-ORG
技 94 95 E 技 M-ORG
有 96 97 B 有 M-ORG
限 96 97 E 限 M-ORG
公 98 99 B 公 M-ORG
司 98 99 E 司 E-ORG
董 100 101 B 董 B-TITLE
事 100 101 E 事 E-TITLE
。 102 102 S 。 O
 
张 0 2 B 张 B-NAME
彬 0 2 M 彬 M-NAME
贤 0 2 E 贤 E-NAME
： 3 3 S ： O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
1 0 4 M 1 O
年 0 4 E 年 O
9 5 6 B 9 O
月 5 6 E 月 O
出 7 8 B 出 O
生 7 8 E 生 O
， 9 9 S ， O
中 10 12 B 中 B-CONT
国 10 12 M 国 M-CONT
籍 10 12 E 籍 E-CONT
， 13 13 S ， O
无 14 16 B 无 O
永 14 16 M 永 O
久 14 16 E 久 O
境 17 18 B 境 O
外 17 18 E 外 O
居 19 21 B 居 O
留 19 21 M 留 O
权 19 21 E 权 O
， 22 22 S ， O
硕 23 24 B 硕 B-EDU
士 23 24 E 士 M-EDU
研 25 27 B 研 M-EDU
究 25 27 M 究 M-EDU
生 25 27 E 生 M-EDU
学 28 29 B 学 M-EDU
历 28 29 E 历 E-EDU
。 30 30 S 。 O
 
中 0 1 B 中 B-ORG
国 0 1 E 国 M-ORG
包 2 3 B 包 M-ORG
装 2 3 E 装 M-ORG
联 4 6 B 联 M-ORG
合 4 6 M 合 M-ORG
会 4 6 E 会 E-ORG
第 7 8 B 第 B-TITLE
七 7 8 E 七 M-TITLE
届 9 9 S 届 M-TITLE
理 10 12 B 理 M-TITLE
事 10 12 M 事 M-TITLE
会 10 12 E 会 M-TITLE
副 13 15 B 副 M-TITLE
会 13 15 M 会 M-TITLE
长 13 15 E 长 E-TITLE
、 16 16 S 、 O
中 17 18 B 中 B-ORG
国 17 18 E 国 M-ORG
日 19 20 B 日 M-ORG
用 19 20 E 用 M-ORG
化 21 22 B 化 M-ORG
工 21 22 E 工 M-ORG
协 23 24 B 协 M-ORG
会 23 24 E 会 M-ORG
油 25 26 B 油 M-ORG
墨 25 26 E 墨 M-ORG
分 27 28 B 分 M-ORG
会 27 28 E 会 E-ORG
第 29 30 B 第 B-TITLE
七 29 30 E 七 M-TITLE
届 31 31 S 届 M-TITLE
理 32 34 B 理 M-TITLE
事 32 34 M 事 M-TITLE
会 32 34 E 会 M-TITLE
副 35 38 B 副 M-TITLE
理 35 38 M 理 M-TITLE
事 35 38 M 事 M-TITLE
长 35 38 E 长 E-TITLE
、 39 39 S 、 O
广 40 41 B 广 B-ORG
东 40 41 E 东 M-ORG
包 42 43 B 包 M-ORG
装 42 43 E 装 M-ORG
技 44 45 B 技 M-ORG
术 44 45 E 术 M-ORG
协 46 47 B 协 M-ORG
会 46 47 E 会 E-ORG
副 48 50 B 副 B-TITLE
会 48 50 M 会 M-TITLE
长 48 50 E 长 E-TITLE
、 51 51 S 、 O
珠 52 54 B 珠 B-TITLE
海 52 54 M 海 M-TITLE
市 52 54 E 市 M-TITLE
第 55 56 B 第 M-TITLE
七 55 56 E 七 M-TITLE
届 57 57 S 届 M-TITLE
人 58 59 B 人 M-TITLE
大 58 59 E 大 M-TITLE
代 60 61 B 代 M-TITLE
表 60 61 E 表 E-TITLE
。 62 62 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
8 0 4 M 8 O
年 0 4 E 年 O
进 5 6 B 进 O
入 5 6 E 入 O
珠 7 8 B 珠 B-ORG
海 7 8 E 海 M-ORG
美 9 10 B 美 M-ORG
光 9 10 E 光 M-ORG
塑 11 12 B 塑 M-ORG
胶 11 12 E 胶 M-ORG
油 13 14 B 油 M-ORG
墨 13 14 E 墨 M-ORG
制 15 16 B 制 M-ORG
造 15 16 E 造 M-ORG
有 17 18 B 有 M-ORG
限 17 18 E 限 M-ORG
公 19 20 B 公 M-ORG
司 19 20 E 司 E-ORG
工 21 22 B 工 O
作 21 22 E 作 O
， 23 23 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
9 0 4 M 9 O
年 0 4 E 年 O
至 5 5 S 至 O
1 6 10 B 1 O
9 6 10 M 9 O
9 6 10 M 9 O
5 6 10 M 5 O
年 6 10 E 年 O
任 11 11 S 任 O
该 12 12 S 该 B-ORG
珠 13 15 B 珠 M-ORG
海 13 15 M 海 M-ORG
市 13 15 E 市 M-ORG
乐 16 17 B 乐 M-ORG
通 16 17 E 通 M-ORG
化 18 19 B 化 M-ORG
工 18 19 E 工 M-ORG
股 20 21 B 股 M-ORG
份 20 21 E 份 M-ORG
有 22 23 B 有 M-ORG
限 22 23 E 限 M-ORG
公 24 25 B 公 M-ORG
司 24 25 E 司 E-ORG
总 26 28 B 总 B-TITLE
经 26 28 M 经 M-TITLE
理 26 28 E 理 E-TITLE
， 29 29 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
6 0 4 M 6 O
年 0 4 E 年 O
至 5 5 S 至 O
今 6 7 B 今 O
任 6 7 E 任 O
珠 8 10 B 珠 B-ORG
海 8 10 M 海 M-ORG
市 8 10 E 市 M-ORG
乐 11 12 B 乐 M-ORG
通 11 12 E 通 M-ORG
化 13 14 B 化 M-ORG
工 13 14 E 工 M-ORG
股 15 16 B 股 M-ORG
份 15 16 E 份 M-ORG
有 17 18 B 有 M-ORG
限 17 18 E 限 M-ORG
公 19 20 B 公 M-ORG
司 19 20 E 司 E-ORG
董 21 23 B 董 B-TITLE
事 21 23 M 事 M-TITLE
长 21 23 E 长 E-TITLE
、 24 24 S 、 O
总 25 27 B 总 B-TITLE
经 25 27 M 经 M-TITLE
理 25 27 E 理 E-TITLE
。 28 28 S 。 O
 
陈 0 2 B 陈 B-NAME
淑 0 2 M 淑 M-NAME
兰 0 2 E 兰 E-NAME
， 3 3 S ， O
女 4 4 S 女 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
4 0 4 M 4 O
6 0 4 M 6 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
大 8 9 B 大 B-EDU
学 8 9 E 学 M-EDU
学 10 11 B 学 M-EDU
历 10 11 E 历 E-EDU
， 12 12 S ， O
黑 13 16 B 黑 B-ORG
龙 13 16 M 龙 M-ORG
江 13 16 M 江 M-ORG
省 13 16 E 省 M-ORG
医 17 18 B 医 M-ORG
药 17 18 E 药 M-ORG
专 19 20 B 专 M-ORG
业 19 20 E 业 M-ORG
委 21 23 B 委 M-ORG
员 21 23 M 员 M-ORG
会 21 23 E 会 E-ORG
委 24 25 B 委 B-TITLE
员 24 25 E 员 E-TITLE
， 26 26 S ， O
曾 27 27 S 曾 O
任 28 28 S 任 O
黑 29 32 B 黑 B-ORG
龙 29 32 M 龙 M-ORG
江 29 32 M 江 M-ORG
省 29 32 E 省 M-ORG
食 33 34 B 食 M-ORG
品 33 34 E 品 M-ORG
药 35 36 B 药 M-ORG
品 35 36 E 品 M-ORG
监 37 38 B 监 M-ORG
督 37 38 E 督 M-ORG
管 39 41 B 管 M-ORG
理 39 41 M 理 M-ORG
局 39 41 E 局 E-ORG
副 42 44 B 副 B-TITLE
局 42 44 M 局 M-TITLE
长 42 44 E 长 E-TITLE
、 45 45 S 、 O
党 46 47 B 党 B-TITLE
组 46 47 E 组 M-TITLE
成 48 49 B 成 M-TITLE
员 48 49 E 员 E-TITLE
， 50 50 S ， O
哈 51 52 B 哈 B-ORG
药 51 52 E 药 M-ORG
集 53 54 B 集 M-ORG
团 53 54 E 团 M-ORG
股 55 56 B 股 M-ORG
份 55 56 E 份 M-ORG
有 57 58 B 有 M-ORG
限 57 58 E 限 M-ORG
公 59 60 B 公 M-ORG
司 59 60 E 司 E-ORG
独 61 62 B 独 B-TITLE
立 61 62 E 立 M-TITLE
董 63 64 B 董 M-TITLE
事 63 64 E 事 E-TITLE
， 65 65 S ， O
黑 66 69 B 黑 B-ORG
龙 66 69 M 龙 M-ORG
江 66 69 M 江 M-ORG
省 66 69 E 省 M-ORG
医 70 71 B 医 M-ORG
药 70 71 E 药 M-ORG
行 72 73 B 行 M-ORG
业 72 73 E 业 M-ORG
协 74 75 B 协 M-ORG
会 74 75 E 会 E-ORG
会 76 77 B 会 B-TITLE
长 76 77 E 长 E-TITLE
。 78 78 S 。 O
 
孙 0 2 B 孙 B-NAME
忠 0 2 M 忠 M-NAME
义 0 2 E 义 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
， 5 5 S ， O
中 6 7 B 中 B-CONT
国 6 7 E 国 M-CONT
国 8 9 B 国 M-CONT
籍 8 9 E 籍 E-CONT
， 10 10 S ， O
无 11 12 B 无 O
境 11 12 E 境 O
外 13 15 B 外 O
永 13 15 M 永 O
久 13 15 E 久 O
居 16 18 B 居 O
留 16 18 M 留 O
权 16 18 E 权 O
， 19 19 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
5 0 4 M 5 O
4 0 4 M 4 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
大 8 9 B 大 B-EDU
专 8 9 E 专 M-EDU
学 10 11 B 学 M-EDU
历 10 11 E 历 E-EDU
。 12 12 S 。 O
 
自 0 0 S 自 O
2 1 5 B 2 O
0 1 5 M 0 O
0 1 5 M 0 O
0 1 5 M 0 O
年 1 5 E 年 O
起 6 7 B 起 O
历 6 7 E 历 O
任 8 8 S 任 O
南 9 10 B 南 B-ORG
宁 9 10 E 宁 M-ORG
饲 11 12 B 饲 M-ORG
料 11 12 E 料 M-ORG
科 13 14 B 科 M-ORG
技 13 14 E 技 M-ORG
有 15 16 B 有 M-ORG
限 15 16 E 限 M-ORG
公 17 18 B 公 M-ORG
司 17 18 E 司 E-ORG
、 19 19 S 、 O
广 20 22 B 广 B-ORG
西 20 22 M 西 M-ORG
南 20 22 E 南 M-ORG
宁 23 24 B 宁 M-ORG
百 23 24 E 百 M-ORG
洋 25 25 S 洋 M-ORG
饲 26 27 B 饲 M-ORG
料 26 27 E 料 M-ORG
集 28 29 B 集 M-ORG
团 28 29 E 团 M-ORG
有 30 31 B 有 M-ORG
限 30 31 E 限 M-ORG
